content_id,client_id,baseline_score,reason_code,action_label,impressions_90d,avg_position,content_age_days,is_declining_label
content_2dba2b1f9536,client_6208ef0f77,443434,stale_and_slipping,1,443434,27.9,299,0
content_66b4046cc144,client_7f2253d7e2,217415,stale_and_slipping,1,217415,26.6,225,1
content_b511d4bc4ad2,client_6208ef0f77,205915,stale_and_slipping,1,205915,27.9,216,0
content_c5063073d048,client_6208ef0f77,192205,stale_and_slipping,1,192205,12.5,211,0
content_f02b48f88241,client_6208ef0f77,181514,stale_and_slipping,1,181514,25.8,223,0
content_05e9b4cd9ccf,client_6208ef0f77,179002,stale_and_slipping,1,179002,22.1,299,1
content_0e70a832cb7a,client_4e07408562,173450,stale_and_slipping,1,173450,22.6,445,0
content_eb366e871254,client_6208ef0f77,168060,stale_and_slipping,1,168060,16.6,211,0
content_40fb6f005d61,client_6208ef0f77,151800,stale_and_slipping,1,151800,26.0,229,1
content_8b36799b7e44,client_6208ef0f77,141400,stale_and_slipping,1,141400,32.0,299,1
content_758db544d84f,client_6208ef0f77,131219,stale_and_slipping,1,131219,13.8,223,0
content_88d367c507a3,client_3fdba35f04,130932,stale_and_slipping,1,130932,40.1,333,0
content_e752a4e03dd3,client_6208ef0f77,130892,stale_and_slipping,1,130892,23.9,287,1
content_54baba704595,client_6208ef0f77,130617,stale_and_slipping,1,130617,47.0,286,1
content_124763d39ca5,client_6208ef0f77,129803,stale_and_slipping,1,129803,33.2,286,1
content_551fe371f51b,client_7f2253d7e2,115789,stale_and_slipping,1,115789,23.8,224,1
content_938ef57eab09,client_6208ef0f77,114468,stale_and_slipping,1,114468,21.1,287,1
content_79b176b92c1b,client_6208ef0f77,113696,stale_and_slipping,1,113696,27.2,287,1
content_a965a1fc5544,client_6208ef0f77,113571,stale_and_slipping,1,113571,12.7,236,0
content_2513d63e5453,client_6208ef0f77,111690,stale_and_slipping,1,111690,15.3,236,0
content_ecf52e97fa72,client_6208ef0f77,110665,stale_and_slipping,1,110665,31.7,299,1
content_c9e444095b72,client_6208ef0f77,110205,stale_and_slipping,1,110205,31.1,216,0
content_a2d6e73bc1eb,client_6208ef0f77,109568,stale_and_slipping,1,109568,29.6,211,0
content_fb95edac0fc3,client_6208ef0f77,106341,stale_and_slipping,1,106341,22.8,223,0
